date	ADA	ATOM	AURORA	AVAX	BNB	BTC	DOGE	ETH	INDY	LINK	LTC	LUNA	NEAR	OSMO	QI	ROAR	SNEK	SOL	UNDEAD	stable
2025-06-26	$427.28	$0.00	$0.00	$2,203.38	$998.47	$557.04	$912.32	$1,392.38	$96.21	$50.72	$74.68	$0.00	$0.00	$243.00	$105.27	$55.80	$0.00	$0.00	$117.62	$1,493.75
2025-06-25	$427.28	$0.00	$0.00	$2,179.44	$998.47	$557.04	$912.32	$1,392.38	$96.21	$50.72	$74.68	$0.00	$0.00	$243.00	$105.27	$55.80	$0.00	$0.00	$102.32	$1,493.75
2025-06-23	$427.28	$0.00	$0.00	$2,168.10	$998.47	$557.04	$912.32	$1,392.38	$96.21	$50.72	$74.68	$0.00	$0.00	$243.00	$105.27	$55.80	$0.00	$0.00	$102.32	$1,493.75
2025-06-20	$427.28	$0.00	$0.00	$2,148.10	$998.47	$557.04	$912.32	$1,392.38	$96.21	$50.72	$74.68	$0.00	$0.00	$243.00	$105.27	$55.80	$0.00	$0.00	$102.32	$1,493.75
2025-06-19	$427.28	$0.00	$0.00	$2,137.15	$998.47	$557.04	$912.32	$1,392.38	$96.21	$50.72	$74.68	$0.00	$0.00	$243.00	$105.27	$55.80	$0.00	$0.00	$79.08	$1,493.75
2025-06-18	$427.28	$0.00	$0.00	$2,137.15	$998.47	$557.04	$912.32	$1,392.38	$96.21	$50.72	$74.68	$0.00	$0.00	$243.00	$105.27	$55.80	$0.00	$0.00	$0.00	$1,493.75
2025-06-14	$427.28	$0.00	$0.00	$2,050.78	$998.47	$557.04	$912.32	$1,392.38	$96.21	$50.72	$74.68	$0.00	$0.00	$243.00	$105.27	$55.80	$0.00	$0.00	$0.00	$1,493.75
2025-06-11	$427.28	$0.00	$0.00	$1,254.38	$998.47	$557.04	$912.32	$1,392.38	$96.21	$50.72	$74.68	$0.00	$0.00	$243.00	$105.27	$55.80	$0.00	$0.00	$0.00	$1,493.75
2025-06-07	$427.28	$0.00	$0.00	$1,254.38	$678.95	$557.04	$122.32	$1,392.38	$96.21	$50.72	$74.68	$0.00	$0.00	$243.00	$105.27	$55.80	$0.00	$0.00	$0.00	$1,493.75
2025-05-24	$427.28	$0.00	$0.00	$813.67	$678.95	$557.04	$122.32	$1,392.38	$96.21	$50.72	$74.68	$0.00	$0.00	$243.00	$105.27	$55.80	$0.00	$0.00	$0.00	$1,493.75
2025-05-23	$427.28	$0.00	$0.00	$813.67	$678.95	$557.04	$122.32	$1,392.38	$96.21	$0.00	$74.68	$0.00	$0.00	$243.00	$105.27	$55.80	$0.00	$0.00	$0.00	$1,493.75
2025-05-22	$427.28	$0.00	$0.00	$813.67	$678.95	$557.04	$122.32	$1,392.38	$96.21	$0.00	$74.68	$0.00	$0.00	$243.00	$105.27	$55.80	$0.00	$0.00	$0.00	$1,405.59
