date	+BTC	BTC	BTC quote	average BTC quote quote	BTC $	BTC %	TOTAL	gains	$ gains	deposits/withdrawals	invested	yields	gains, total	$ gains, total	ROI	APR
2025-09-20	0.00000	0.00098	$116,074.00	$83,656.00	$114.24	100.00%	$114.24	0.00000	-$0.33	$0.00	$100.00	$0.00	0.00000	$14.24	14.24%	25.00%
2025-09-19	0.00000	0.00098	$116,405.00	$83,656.00	$114.57	100.00%	$114.57	0.00000	-$0.98	$0.00	$100.00	$0.00	0.00000	$14.57	14.57%	25.69%
2025-09-18	0.00000	0.00098	$117,399.00	$83,656.00	$115.55	100.00%	$115.55	0.00000	$1.15	$0.00	$100.00	$0.00	0.00000	$15.55	15.55%	27.55%
2025-09-17	0.00000	0.00098	$116,227.00	$83,656.00	$114.40	100.00%	$114.40	0.00000	$0.78	$0.00	$100.00	$0.00	0.00000	$14.40	14.40%	25.63%
2025-09-16	0.00000	0.00098	$115,436.00	$83,656.00	$113.62	100.00%	$113.62	0.00000	$0.60	$0.00	$100.00	$0.00	0.00000	$13.62	13.62%	24.36%
2025-09-15	0.00000	0.00098	$114,827.00	$83,656.00	$113.02	100.00%	$113.02	0.00000	-$1.02	$0.00	$100.00	$0.00	0.00000	$13.02	13.02%	23.41%
2025-09-14	0.00000	0.00098	$115,863.00	$83,656.00	$114.04	100.00%	$114.04	0.00000	-$0.18	$0.00	$100.00	$0.00	0.00000	$14.04	14.04%	25.36%
2025-09-13	0.00000	0.00098	$116,048.00	$83,656.00	$114.22	100.00%	$114.22	0.00000	$0.81	$0.00	$100.00	$0.00	0.00000	$14.22	14.22%	25.82%
2025-09-12	0.00000	0.00098	$115,222.00	$83,656.00	$113.41	100.00%	$113.41	0.00000	$1.26	$0.00	$100.00	$0.00	0.00000	$13.41	13.41%	24.47%
2025-09-11	0.00000	0.00098	$113,937.00	$83,656.00	$112.14	100.00%	$112.14	0.00000	$0.73	$0.00	$100.00	$0.00	0.00000	$12.14	12.14%	22.27%
2025-09-10	0.00000	0.00098	$113,194.00	$83,656.00	$111.41	100.00%	$111.41	0.00000	$0.43	$0.00	$100.00	$0.00	0.00000	$11.41	11.41%	21.03%
2025-09-09	0.00000	0.00098	$112,755.00	$83,656.00	$110.98	100.00%	$110.98	0.00000	$0.81	$0.00	$100.00	$0.00	0.00000	$10.98	10.98%	20.34%
2025-09-08	0.00000	0.00098	$111,936.00	$83,656.00	$110.17	100.00%	$110.17	0.00000	$0.64	$0.00	$100.00	$0.00	0.00000	$10.17	10.17%	18.94%
2025-09-07	0.00000	0.00098	$111,286.00	$83,656.00	$109.53	100.00%	$109.53	0.00000	$0.43	$0.00	$100.00	$0.00	0.00000	$9.53	9.53%	17.84%
2025-09-06	0.00000	0.00098	$110,848.00	$83,656.00	$109.10	100.00%	$109.10	0.00000	-$1.63	$0.00	$100.00	$0.00	0.00000	$9.10	9.10%	17.12%
2025-09-05	0.00000	0.00098	$112,508.00	$83,656.00	$110.73	100.00%	$110.73	0.00000	$1.63	$0.00	$100.00	$0.00	0.00000	$10.73	10.73%	20.30%
2025-09-04	0.00000	0.00098	$110,847.00	$83,656.00	$109.10	100.00%	$109.10	0.00000	-$0.53	$0.00	$100.00	$0.00	0.00000	$9.10	9.10%	17.30%
2025-09-03	0.00000	0.00098	$111,384.00	$83,656.00	$109.63	100.00%	$109.63	0.00000	$2.06	$0.00	$100.00	$0.00	0.00000	$9.63	9.63%	18.40%
2025-09-02	0.00000	0.00098	$109,292.00	$83,656.00	$107.57	100.00%	$107.57	0.00000	$0.51	$0.00	$100.00	$0.00	0.00000	$7.57	7.57%	14.54%
2025-09-01	0.00000	0.00098	$108,776.00	$83,656.00	$107.06	100.00%	$107.06	0.00000	$0.41	$0.00	$100.00	$0.00	0.00000	$7.06	7.06%	13.64%
2025-08-31	0.00000	0.00098	$108,355.00	$83,656.00	$106.65	100.00%	$106.65	0.00000	-$0.17	$0.00	$100.00	$0.00	0.00000	$6.65	6.65%	12.91%
2025-08-30	0.00000	0.00098	$108,526.00	$83,656.00	$106.82	100.00%	$106.82	0.00000	-$0.09	$0.00	$100.00	$0.00	0.00000	$6.82	6.82%	13.30%
2025-08-29	0.00000	0.00098	$108,620.00	$83,656.00	$106.91	100.00%	$106.91	0.00000	-$4.23	$0.00	$100.00	$0.00	0.00000	$6.91	6.91%	13.56%
2025-08-28	0.00000	0.00098	$112,914.00	$83,656.00	$111.13	100.00%	$111.13	0.00000	$0.97	$0.00	$100.00	$0.00	0.00000	$11.13	11.13%	21.97%
